alert_threshold_profile_code,machine_parameter_code,warning_low,warning_high,critical_low,critical_high,sustained_duration_seconds,warning_severity_level_code,critical_severity_level_code,rate_of_change_limit_per_minute
ATP-VMC-STD,PRM-TEMP,42.0000,76.0000,35.0000,84.0000,60,SEV-3,SEV-1,2.5000
ATP-VMC-STD,PRM-VIB,,5.0000,,7.1000,45,SEV-3,SEV-1,0.4000
ATP-VMC-STD,PRM-TORQ,,92.0000,,105.0000,30,SEV-3,SEV-2,
ATP-VMC-STD,PRM-TWEAR,,88.0000,,95.0000,0,SEV-3,SEV-2,
ATP-VMC-STD,PRM-PWR,5.0000,19.0000,4.0000,21.5000,120,SEV-4,SEV-2,
ATP-VMC-STD,PRM-RPM,400.0000,12600.0000,250.0000,13500.0000,20,SEV-4,SEV-2,
ATP-VMC-TIGHT,PRM-TEMP,43.5000,73.5000,38.0000,79.0000,30,SEV-2,SEV-1,1.8000
ATP-VMC-TIGHT,PRM-VIB,,4.7000,,6.0000,30,SEV-2,SEV-1,0.3000
ATP-VMC-TIGHT,PRM-TORQ,,89.5000,,98.0000,20,SEV-2,SEV-1,
ATP-VMC-TIGHT,PRM-TWEAR,,86.0000,,92.0000,0,SEV-3,SEV-2,
