business_rule_code,rule_name,rule_category,value_type,value_numeric,value_text,value_boolean,unit,production_line_code,description,effective_from_date
BR-ESC-PROB,Minimum failure probability for escalation,escalation,numeric,0.7000,,,,,"Predicted failure probability must reach this threshold before an alert is escalated. Applies plant-wide.",2025-04-01
BR-ESC-PROB-LN01,Minimum failure probability for escalation — Line 01,escalation,numeric,0.5500,,,,LN-01,"Line 01 escalates at a lower probability than the plant default because it is the critical line.",2025-06-15
BR-ESC-SEV,Minimum severity for escalation,escalation,text,,SEV-2,,,,"Minimum severity level an alert must reach before escalation is considered.",2025-04-01
BR-COST-DOWN-DEF,Default downtime cost rate,costing,numeric,15000.0000,,,INR/hour,,"Cost of one hour of unplanned downtime, applied when no line-specific rate exists.",2025-04-01
BR-COST-DOWN-LN01,Downtime cost rate — Line 01,costing,numeric,42000.0000,,,INR/hour,LN-01,"Cost of one hour of unplanned downtime on Line 01.",2025-04-01
BR-COST-DOWN-LN02,Downtime cost rate — Line 02,costing,numeric,28000.0000,,,INR/hour,LN-02,"Cost of one hour of unplanned downtime on Line 02.",2025-04-01
BR-PRIOR-GOLD,Priority weight for gold-tier customers,prioritization,numeric,1.4000,,,multiplier,,"Multiplier applied to prioritisation scores for orders belonging to gold-tier customers.",2025-04-01
BR-PRIOR-SAFETY,Priority weight for safety-implicated failures,prioritization,numeric,1.6000,,,multiplier,,"Multiplier applied to prioritisation scores for failures carrying a safety implication.",2025-04-01
BR-NOTIF-QUIET,Suppress non-critical notifications outside shift hours,notification,boolean,,,1,,,"When enabled, notifications below critical severity are withheld outside shift hours.",2025-04-01
BR-MAINT-DEFER-MAX,Default maximum preventive maintenance deferral,maintenance_policy,numeric,14.0000,,,days,,"Maximum number of days a preventive maintenance task may be deferred by default.",2025-04-01
BR-INV-CRIT-MULT,Safety stock multiplier for critical spares,inventory_policy,numeric,1.5000,,,multiplier,,"Multiplier applied to safety stock quantities for items flagged as critical spares.",2025-04-01
BR-PRED-COMPLETE-MIN,Minimum data completeness for inference,maintenance_policy,numeric,70.0000,,,percent,,"A feature snapshot must reach this data_completeness_pct before the model may be run. Below it the snapshot is marked insufficient and no prediction is produced. Applies plant-wide.",2025-04-01
BR-PRED-RISK-SEV-1,Risk severity band floor — SEV-1,maintenance_policy,numeric,0.8500,,,probability,,"Lowest failure probability that maps a prediction onto severity SEV-1. Bands are evaluated most severe first. Applies plant-wide.",2025-04-01
BR-PRED-RISK-SEV-2,Risk severity band floor — SEV-2,maintenance_policy,numeric,0.6500,,,probability,,"Lowest failure probability that maps a prediction onto severity SEV-2. Bands are evaluated most severe first. Applies plant-wide.",2025-04-01
BR-PRED-RISK-SEV-3,Risk severity band floor — SEV-3,maintenance_policy,numeric,0.4500,,,probability,,"Lowest failure probability that maps a prediction onto severity SEV-3. Bands are evaluated most severe first. Applies plant-wide.",2025-04-01
BR-PRED-RISK-SEV-4,Risk severity band floor — SEV-4,maintenance_policy,numeric,0.2500,,,probability,,"Lowest failure probability that maps a prediction onto severity SEV-4. Bands are evaluated most severe first. Applies plant-wide.",2025-04-01
BR-PRED-RISK-SEV-5,Risk severity band floor — SEV-5,maintenance_policy,numeric,0.0000,,,probability,,"Lowest failure probability that maps a prediction onto severity SEV-5. This is the floor of the scale, so every prediction receives a severity. Applies plant-wide.",2025-04-01
