product_code,inventory_item_code,quantity_per_unit,scrap_allowance_pct,is_critical_component,substitute_inventory_item_code,effective_from_date
PRD-GH-100,INV-RM-CI250,1.0000,2.00,1,,2019-02-11
PRD-GH-100,INV-CN-COOL-20L,0.0800,0.00,0,,2019-02-11
PRD-GH-100,INV-TL-EM-C12,0.0150,0.00,0,,2019-02-11
PRD-PMP-220,INV-CM-IMP-220,1.0000,0.50,1,,2018-07-30
PRD-PMP-220,INV-CM-SHFT-45,1.0000,0.50,1,,2018-07-30
PRD-PMP-220,INV-CM-SEAL-K12,1.0000,1.00,1,,2018-07-30
PRD-PMP-220,INV-RM-AL6061,1.0000,3.00,1,INV-RM-AL7075,2018-07-30
PRD-VB-075,INV-RM-AL6061,1.0000,3.00,1,INV-RM-AL7075,2020-11-05
PRD-VB-075,INV-CN-COOL-20L,0.0500,0.00,0,,2020-11-05
PRD-VB-075,INV-TL-EM-C12,0.0110,0.00,0,,2020-11-05
