machine_type_code,failure_category_code,typical_severity_level_code,primary_machine_parameter_code,required_inventory_item_code,estimated_repair_duration_minutes,typical_warning_period_hours,is_model_predictable,relative_frequency,leading_indicator_description
MTY-VMC-500,FC-BRG,SEV-2,PRM-VIB,INV-CP-BRG-6205,240,168,1,common,"Vibration velocity climbs steadily above the normal envelope over roughly a week before failure."
MTY-VMC-500,FC-TOOL,SEV-3,PRM-TWEAR,INV-TL-EM-C12,45,8,1,common,"Tool wear approaches its limit during the final hours of tool life."
MTY-VMC-500,FC-SPDL,SEV-1,PRM-VIB,INV-CP-BRG-6205,480,72,1,occasional,"Vibration rises sharply and across a broad band over about three days as the spindle bearing degrades."
MTY-VMC-500,FC-OVHT,SEV-1,PRM-TEMP,,180,24,1,occasional,"Spindle temperature trends upward through the day preceding thermal overload."
MTY-VMC-500,FC-BELT,SEV-3,PRM-TORQ,INV-CP-BELT-V38,90,120,1,occasional,"Torque readings become erratic as belt tension is progressively lost over about five days."
MTY-VMC-500,FC-LUBR,SEV-2,PRM-TEMP,,120,48,1,rare,"Temperature drifts upward over two days as lubricant delivery falls below requirement."
MTY-VMC-500,FC-SENS,SEV-3,,,60,,0,occasional,"No leading indicator; an instrumentation fault appears without measurable warning."
MTY-ROBO-WELD-6X,FC-MOTR,SEV-2,PRM-PWR,INV-CP-SERVO-D4,300,96,1,occasional,"Power draw rises and becomes unstable over about four days before the drive fails."
MTY-ROBO-WELD-6X,FC-CTRL,SEV-2,,INV-CP-SERVO-D4,240,,0,occasional,"No leading indicator; a controller fault presents abruptly."
MTY-ROBO-WELD-6X,FC-PNEU,SEV-3,PRM-AIRP,,60,12,1,common,"Compressed air pressure falls below the normal envelope in the hours before the fault."
MTY-CONV-BELT-12,FC-BELT,SEV-3,PRM-PWR,,90,240,1,common,"Power draw drifts upward over roughly ten days as belt tension and alignment degrade."
MTY-CONV-BELT-12,FC-JAM,SEV-3,PRM-PWR,,30,,0,common,"No leading indicator; a blockage produces an immediate step change in load."
MTY-CONV-BELT-12,FC-BRG,SEV-4,PRM-PWR,,120,336,1,occasional,"Power draw increases slowly over about two weeks as roller bearings wear."
